Site,Site_transect,Month,Latitude,Longitude,Elevation,tmax,tmin,tavg,vapr,wind,srad,prec
Udg,UDG_T7,Oct,17.085806,73.848333,1005,26.39999962,17.89999962,22.10000038,1.950000048,1.299999952,18527,130
Bor,BOR_T1,Oct,16.517556,73.893028,831,26.89999962,18.79999924,22.79999924,2.079999924,1.299999952,18323,138
Bor,BOR_T2,Oct,16.516472,73.892167,883,26.60000038,18.60000038,22.60000038,2.059999943,1.299999952,18387,137
Bor,BOR_T3,Oct,16.516083,73.891833,883,26.60000038,18.60000038,22.60000038,2.059999943,1.299999952,18387,137
Bor,BOR_T4,Oct,16.515722,73.891694,883,26.60000038,18.60000038,22.60000038,2.059999943,1.299999952,18387,137
Bor,BOR_T5,Oct,16.515111,73.890917,907,26.5,18.5,22.5,2.049999952,1.299999952,18339,137
Bor,BOR_T6,Oct,16.514083,73.889361,907,26.5,18.5,22.5,2.049999952,1.299999952,18339,137
Bor,BOR_T7,Oct,16.511889,73.888556,907,26.5,18.5,22.5,2.049999952,1.299999952,18339,137
Kha,KHA_T1,Oct,15.878417,74.02975,840,26.89999962,18.70000076,22.79999924,2.180000067,1.5,18614,155
Kha,KHA_T2,Oct,15.877833,74.030556,840,26.89999962,18.70000076,22.79999924,2.180000067,1.5,18614,155
Kha,KHA_T3,Oct,15.876667,74.0305,840,26.89999962,18.70000076,22.79999924,2.180000067,1.5,18614,155
Kha,KHA_T4,Oct,15.876028,74.033083,840,26.89999962,18.70000076,22.79999924,2.180000067,1.5,18614,155
Kha,KHA_T5,Oct,15.876222,74.033639,836,27,18.60000038,22.79999924,2.180000067,1.5,18620,155
Kha,KHA_T6,Oct,15.876722,74.032306,840,26.89999962,18.70000076,22.79999924,2.180000067,1.5,18614,155
Kha,KHA_T7,Oct,15.877639,74.029694,840,26.89999962,18.70000076,22.79999924,2.180000067,1.5,18614,155
Man,MAN_T1,Oct,15.672806,74.116583,773,27.10000038,19.39999962,23.29999924,2.25,1.700000048,18692,160
Man,MAN_T2,Oct,15.672667,74.116833,820,26.89999962,19.20000076,23,2.230000019,1.700000048,18699,159
Man,MAN_T3,Oct,15.668444,74.11625,773,27.10000038,19.39999962,23.29999924,2.25,1.700000048,18692,160
Man,MAN_T4,Oct,15.670944,74.117,820,26.89999962,19.20000076,23,2.230000019,1.700000048,18699,159
Man,MAN_T5,Oct,15.668806,74.117556,820,26.89999962,19.20000076,23,2.230000019,1.700000048,18699,159
Man,MAN_T6,Oct,15.671,74.116333,773,27.10000038,19.39999962,23.29999924,2.25,1.700000048,18692,160
Man,MAN_T7,Oct,15.669889,74.117361,820,26.89999962,19.20000076,23,2.230000019,1.700000048,18699,159
